"target_date","member_00","member_01","member_02","member_03","member_04","member_05","member_06","member_07","member_08","member_09","member_10","member_11","member_12","member_13","member_14","member_15","member_16","member_17","member_18","member_19","member_20","member_21","member_22","member_23","member_24","member_25","member_26","member_27","member_28","member_29","member_30","member_31","member_32","member_33","member_34","member_35","member_36","member_37","member_38","member_39","member_40","member_41","member_42","member_43","member_44","member_45","member_46","member_47","member_48","member_49","member_50"
"2021-11-13",0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625,0.7265625
"2021-11-14",0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375
"2021-11-15",0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625,0.4765625
"2021-11-16",0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
"2021-11-17",0.3203125,0.3203125,0.3203125,0.3125,0.3125,0.3203125,0.3203125,0.3125,0.3125,0.3203125,0.3203125,0.3203125,0.3125,0.3125,0.3125,0.3203125,0.3203125,0.3125,0.3203125,0.3125,0.3125,0.3203125,0.3125,0.3125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3125,0.3125,0.3203125,0.3203125,0.3203125,0.3203125,0.3125,0.3203125,0.3203125,0.3125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3125,0.3203125,0.328125,0.3203125,0.3125
"2021-11-18",0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875
"2021-11-19",0.296875,0.296875,0.3046875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3125,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3046875,0.296875,0.296875,0.3046875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3046875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3046875,0.296875,0.296875
"2021-11-20",0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3125,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.3046875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.296875,0.5859375,0.296875,0.3046875
"2021-11-21",0.2890625,0.296875,0.296875,0.328125,0.4453125,0.2890625,0.296875,0.2890625,0.2890625,0.2890625,0.3125,0.5546875,0.2890625,0.3125,0.2890625,0.296875,0.390625,0.2890625,0.296875,0.2890625,0.2890625,0.3046875,0.2890625,0.2890625,0.296875,0.2890625,0.296875,0.296875,0.2890625,0.296875,0.2890625,0.296875,0.359375,0.296875,0.2890625,0.2890625,0.2890625,0.3046875,0.2890625,0.296875,0.328125,0.2890625,0.2890625,0.2890625,0.2890625,0.2890625,0.296875,0.2890625,0.6953125,0.2890625,0.296875
"2021-11-22",0.2890625,0.296875,0.296875,0.3046875,0.4375,0.296875,0.3046875,0.2890625,0.2890625,0.2890625,0.296875,0.46875,0.2890625,0.3125,0.2890625,0.2890625,0.3125,0.2890625,0.2890625,0.2890625,0.2890625,0.3046875,0.2890625,0.2890625,0.2890625,0.2890625,0.296875,0.2890625,0.2890625,0.2890625,0.2890625,0.2890625,0.3046875,0.296875,0.2890625,0.2890625,0.2890625,0.296875,0.2890625,0.2890625,0.3046875,0.2890625,0.2890625,0.2890625,0.2890625,0.2890625,0.296875,0.2890625,0.5859375,0.2890625,0.296875
