cutoff,cutoff_display,variant,manuscript_label,best_epsilon_label,best_c_factor,target_model_id,launch_mode,resolved_run_id,resolved_run_dir,mean_crps,status
20210123,01/23/2021,full,exAL-M-T1,c04_eps365,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,SOURCE_RUNTIME_ROOT/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,0.1397088548478634,pass
20210123,01/23/2021,noTrend,exAL-M-T1-noTrend,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,1.0515922245361908,pass
20210123,01/23/2021,noTF,exAL-M-noTF,c04_eps365,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,1.7360957277723663,pass
20210123,01/23/2021,noH1,exAL-M-T1-noH1,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,1.2786086911429622,pass
20210123,01/23/2021,noH2,exAL-M-T1-noH2,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,0.7268957470858982,pass
20210123,01/23/2021,noH3,exAL-M-T1-noH3,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,1.0828143384638242,pass
20211112,11/12/2021,full,exAL-M-T1,c04_eps365,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,SOURCE_RUNTIME_ROOT/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,0.0472363501409808,pass
20211112,11/12/2021,noTrend,exAL-M-T1-noTrend,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,0.7234272298091396,pass
20211112,11/12/2021,noTF,exAL-M-noTF,c04_eps365,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,1.7140899592218874,pass
20211112,11/12/2021,noH1,exAL-M-T1-noH1,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,1.601420047530022,pass
20211112,11/12/2021,noH2,exAL-M-T1-noH2,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,1.046992391360837,pass
20211112,11/12/2021,noH3,exAL-M-T1-noH3,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,1.0356247764306286,pass
20211221,12/21/2021,full,exAL-M-T1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep,SOURCE_RUNTIME_ROOT/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep,0.2604466008954304,pass
20211221,12/21/2021,noTrend,exAL-M-T1-noTrend,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,2.517482779589605,pass
20211221,12/21/2021,noTF,exAL-M-noTF,he2partial20260623,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,2.3286287601077307,pass
20211221,12/21/2021,noH1,exAL-M-T1-noH1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,2.8301725629702927,pass
20211221,12/21/2021,noH2,exAL-M-T1-noH2,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,2.9651285847201554,pass
20211221,12/21/2021,noH3,exAL-M-T1-noH3,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20211221_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,2.5833284975705157,pass
20220511,05/11/2022,full,exAL-M-T1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep,SOURCE_RUNTIME_ROOT/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep,0.0227281783203013,pass
20220511,05/11/2022,noTrend,exAL-M-T1-noTrend,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,0.532566307871066,pass
20220511,05/11/2022,noTF,exAL-M-noTF,he2partial20260623,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,2.4770299350386957,pass
20220511,05/11/2022,noH1,exAL-M-T1-noH1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,1.0995628278823844,pass
20220511,05/11/2022,noH2,exAL-M-T1-noH2,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,0.9119294552158368,pass
20220511,05/11/2022,noH3,exAL-M-T1-noH3,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20220511_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,0.6864168874285019,pass
20221225,12/25/2022,full,exAL-M-T1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep,SOURCE_RUNTIME_ROOT/multimodel_v8_he2_exdqlm_multivar_keep_partial_authority_refresh_20260623/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep,0.5380554847458453,pass
20221225,12/25/2022,noTrend,exAL-M-T1-noTrend,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTrend,4.058806917025602,pass
20221225,12/25/2022,noTF,exAL-M-noTF,he2partial20260623,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noTF,2.172796766136764,pass
20221225,12/25/2022,noH1,exAL-M-T1-noH1,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH1,4.458873044706468,pass
20221225,12/25/2022,noH2,exAL-M-T1-noH2,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH2,4.647085049293147,pass
20221225,12/25/2022,noH3,exAL-M-T1-noH3,he2partial20260623,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,SOURCE_RUNTIME_ROOT/multimodel_v8_he3_exdqlm_ablation_current_authority_20260625/runs/multimodel_20221225_v8_he2partial20260623_exdqlm_multivar_keep_he3_noH3,4.438785209617708,pass
