"covariate","quantile","center","q2_5","q97_5","ci_str","time_index","notes"
"Intercept",5,"-0.0174828453863417","-0.0181459063689362","-0.0168247541324717","-0.01815, -0.01682",12995,""
"Intercept",50,"-0.0282742955149375","-0.0291645242946826","-0.0274158015392820","-0.02916, -0.02742",12995,""
"Intercept",95,"-0.0256456875725790","-0.0265149456331150","-0.0247898881379511","-0.02651, -0.02479",12995,""
"Lag1",5,"-0.00678766293576301","-0.00780821556057532","-0.00578054333310765","-0.00781, -0.00578",12995,""
"Lag1",50,"-0.00805552728510483","-0.00931176872862372","-0.00679494361865383","-0.00931, -0.00679",12995,""
"Lag1",95,"-0.0132015302802920","-0.0145354953723659","-0.0118805854953151","-0.01454, -0.01188",12995,""
"Lag2",5,"0.172840513345785","0.168700712478180","0.177076887283350","0.16870, 0.17708",12995,""
"Lag2",50,"0.209703349358000","0.204696472704602","0.214626810675498","0.20470, 0.21463",12995,""
"Lag2",95,"0.258750964368907","0.253504178403388","0.263915289914790","0.25350, 0.26392",12995,""
"Lag3",5,"0.0261859218124374","0.0240914753357008","0.0281971417513774","0.02409, 0.02820",12995,""
"Lag3",50,"-0.0176369162537538","-0.0210823393163241","-0.0141917452696392","-0.02108, -0.01419",12995,""
"Lag3",95,"-0.175853973412204","-0.179578000922085","-0.172149381113340","-0.17958, -0.17215",12995,""
"Lag4",5,"-0.0107044995126193","-0.0128959878359447","-0.00864936932899183","-0.01290, -0.00865",12995,""
"Lag4",50,"-0.0109987495487792","-0.0139104603760897","-0.00820409103058439","-0.01391, -0.00820",12995,""
"Lag4",95,"-0.0339266915220432","-0.0371541980139748","-0.0307609646438137","-0.03715, -0.03076",12995,""
"Lag5",5,"-0.0306575863797675","-0.0318176762292532","-0.0295048248922015","-0.03182, -0.02950",12995,""
"Lag5",50,"-0.0430867014005771","-0.0446825492558233","-0.0414607661436628","-0.04468, -0.04146",12995,""
"Lag5",95,"-0.0536242598702185","-0.0555504501161370","-0.0516428114399603","-0.05555, -0.05164",12995,""
"PC1",5,"-0.00197606094164309","-0.00202086350117154","-0.00193160060592881","-0.00202, -0.00193",12995,""
"PC1",50,"-0.00131520915389746","-0.00137015864674693","-0.00126099645725280","-0.00137, -0.00126",12995,""
"PC1",95,"-0.00116089208057776","-0.00122167491788410","-0.00110029236674088","-0.00122, -0.00110",12995,""
"Precipitation",5,"-0.102816313135072","-0.107238402595278","-0.0985336160826773","-0.10724, -0.09853",12995,""
"Precipitation",50,"-0.0625766279677013","-0.0682977697447004","-0.0569769639054224","-0.06830, -0.05698",12995,""
"Precipitation",95,"0.0863179382347745","0.0804375256334400","0.0920767471697926","0.08044, 0.09208",12995,""
"Soil Moisture",5,"-0.0269496195796188","-0.0331484985409177","-0.0208176812458969","-0.03315, -0.02082",12995,""
"Soil Moisture",50,"-0.0332509082224863","-0.0414924273806155","-0.0251244386183278","-0.04149, -0.02512",12995,""
"Soil Moisture",95,"0.0146228520845863","0.00545802498743132","0.0238444380537293","0.00546, 0.02384",12995,""
