"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","gamma","0.974956385152070","0.960288298919943","0.989159105057558","0.96029, 0.98916"
5,"NWS","gamma","0.481239442000642","0.470430542564139","0.492554001404755","0.47043, 0.49255"
5,"USGS","gamma","0.845183462728086","0.830642127389058","0.858812915412624","0.83064, 0.85881"
20,"GLOFAS","gamma","0.335442269554605","0.322034394580883","0.348805913876396","0.32203, 0.34881"
20,"NWS","gamma","-0.00668246767647621","-0.00924034988770656","-0.00413208640014487","-0.00924, -0.00413"
20,"USGS","gamma","0.0942441111374599","0.0819374735685535","0.107017022036116","0.08194, 0.10702"
35,"GLOFAS","gamma","0.162205373462887","0.152434702589575","0.172357115750776","0.15243, 0.17236"
35,"NWS","gamma","-0.0428015797663184","-0.0470724357960905","-0.0384144275624354","-0.04707, -0.03841"
35,"USGS","gamma","-0.0276296677437043","-0.0329812572028023","-0.0223419250108257","-0.03298, -0.02234"
50,"GLOFAS","gamma","0.0633629156221224","0.0567051963340385","0.0704976184338413","0.05671, 0.07050"
50,"NWS","gamma","-0.132475490963621","-0.139378238918419","-0.125227879749739","-0.13938, -0.12523"
50,"USGS","gamma","-0.131960798932406","-0.140052742030742","-0.123222697329302","-0.14005, -0.12322"
65,"GLOFAS","gamma","0.0197670961175280","0.0151173558054154","0.0246575965337649","0.01512, 0.02466"
65,"NWS","gamma","-0.270780383963212","-0.280666442349650","-0.260293037004804","-0.28067, -0.26029"
65,"USGS","gamma","-0.310709522755585","-0.322439594511341","-0.298458172464400","-0.32244, -0.29846"
80,"GLOFAS","gamma","-0.0510028673057354","-0.0620371443248359","-0.0405281509333311","-0.06204, -0.04053"
80,"NWS","gamma","-0.497238729317861","-0.511159782724693","-0.482816122058654","-0.51116, -0.48282"
80,"USGS","gamma","-0.685425994407487","-0.702699973307446","-0.668348635165618","-0.70270, -0.66835"
95,"GLOFAS","gamma","-0.727844481378998","-0.739704475358470","-0.716335048363766","-0.73970, -0.71634"
95,"NWS","gamma","-1.49200235026703","-1.51264435717532","-1.47052119924404","-1.51264, -1.47052"
95,"USGS","gamma","-2.13800851621755","-2.16788368226211","-2.10809585877595","-2.16788, -2.10810"
